dt_ts,NEE,ET,LE,H,SWin,SWout,LWin,LWout,TA1,RH1
2025-06-15 16:30:00,1.2137814653747843,1.816765434652321,51.29439593408707,22.60267665236257,182.96,41.44,405.8567,450.5033,24.81,67.21
2025-06-15 17:00:00,2.5804300665424935,1.2630027635796603,35.664054131869094,17.70531933058113,130.98,28.98333,395.4066,444.9733,24.37,69.08
2025-06-15 17:30:00,0.8690329825202394,1.0923211363892873,30.84769787602015,5.677468763761654,93.84,20.43333,384.6266,442.5333,24.34,68.61
2025-06-15 18:00:00,-0.8423641015020148,0.33502240945222655,9.46316565228523,2.1217111282248737,76.30666,16.80667,387.09,441.6266,24.2,71.5
2025-06-15 18:30:00,-2.70355851243975,0.5190713311620538,14.6649516924542,-1.4340465073119062,47.74666,10.9,391.5867,438.8866,23.75,72.27
2025-06-15 19:00:00,-3.5432131810741945,0.4247455607605774,12.003177602857068,-4.742006923329425,29.68,6.953333,390.73,436.53,23.5,73.9
2025-06-15 19:30:00,-6.134169220788238,0.2470495693282952,6.9838179521142045,-11.867445363077604,7.119999,1.75,389.3633,431.31,22.92,75.85
2025-06-15 20:00:00,-1.7038230775966348,0.05108098330123671,1.4446529282426015,-3.1216130031301623,-0.2833333,-0.1066667,387.3633,425.5333,22.26,80.7
2025-06-15 20:30:00,-8.999330846900971,1.4211267283026763,40.18507999339052,-26.610014519265615,-0.5133333,-0.1266667,387.54,429.6967,22.73,71.47
2025-06-15 21:00:00,-5.461181199476402,0.45295013600626527,12.812072357457923,-17.1588972246922,-0.4233333,-0.1466667,390.8767,428.88,22.23,72.28
2025-06-15 21:30:00,-4.657075964569857,0.38945234934562456,11.019846603113994,-14.299251628381787,-0.3166667,-0.1266667,392.82,427.2133,22.01,73.1
2025-06-15 22:00:00,-3.40397381394127,0.4838501755802661,13.692255035915348,-10.230257184048236,-0.3166667,-0.01333333,391.1266,425.71,21.71,72.78
2025-06-15 22:30:00,-5.1304726845836335,0.2960477915481111,8.382552216648335,-10.94952915574768,-0.3366667,-0.1566667,389.7833,419.4567,20.83,75.77
2025-06-15 23:00:00,-7.0101450911537055,0.6887285459053314,19.505399545505448,-11.413084047298486,-0.2866667,-0.2133333,391.55,419.05,21.05,72.13
2025-06-15 23:30:00,-1.9280023676312728,0.17733118502736853,5.02167873137094,-4.040886188737667,-0.25,-0.07666666,393.5733,418.5866,21.07,71.14
2025-06-16 00:00:00,-5.49760014332298,0.6717009579710719,19.028955712915323,-14.53251815279976,-0.2633333,-0.1366667,391.7533,417.7533,20.48,73.65
